Facility Name,Latitude,Longitude,Country,Sector
Châu Đốc Brewery 43,9.6869,106.1214,Vietnam,Food & Beverage
Kampot Brewery 44,10.0138,105.6833,Vietnam,Food & Beverage
Takeo Aquafarm 45,106.8565,10.9550,Vietnam,Agriculture
Vĩnh Long Feed Mill 46,10.5585,106.8452,Vietnam,Agriculture
Bến Tre Textile Mill 47,10.5311,104.8303,Cambodia,Textiles
Phnom Penh Cannery 48,,,Cambodia,Food & Beverage
Kampot Textile Mill 49,10.2598,106.5650,Vietnam,Textiles
Cao Lãnh Aquafarm 50,"9°23'36""N","105°36'43""E",Vietnam,Agriculture
Trà Vinh Shrimp Processing 51,10.2019,106.7910,Vietnam,Food & Beverage
Hà Tiên Shrimp Processing 52,10.2517,106.6881,Vietnam,Food & Beverage
Bạc Liêu Sugar Refinery 53,10.5510,104.3561,Cambodia,Food & Beverage
Rạch Giá Data Center 54,9.9575,105.9030,Vietnam,Technology
Hà Tiên Garment Factory 55,10.8423,104.6115,Cambodia,Textiles
Takeo Rice Mill 56,"9,2084","105,7285",Vietnam,Agriculture
Rạch Giá Bottling Plant 57,11.5005,104.3806,Cambodia,Food & Beverage
Trà Vinh Cold Storage 58,9.4903,105.3545,Vietnam,Logistics
Trà Vinh Data Center 59,107.0413,10.8461,Vietnam,Technology
Hà Tiên Textile Mill 60,9.5876,106.2896,Vietnam,Textiles
Long Xuyên Feed Mill 61,10.6384,106.7967,Vietnam,Agriculture
Kampot Garment Factory 62,10.5113,106.9515,Vietnam,Textiles
Cao LÃ£nh Sugar Refinery 63,9.9075,105.7717,Vietnam,Food & Beverage
Mỹ Tho Sugar Refinery 64,10.0970,105.1225,Vietnam,Food & Beverage
Sóc Trăng Rice Mill 65,9.5928,106.2813,Vietnam,Agriculture
Rạch Giá Cannery 66,10.4729,106.6920,Vietnam,Food & Beverage
Mỹ Tho Rice Mill 67,9.5067,106.2142,Vietnam,Agriculture
Phnom Penh Sugar Refinery 68,106.9239,10.6977,Vietnam,Food & Beverage
Bến Tre Data Center 69,9.4979,106.2447,Vietnam,Technology
Trà Vinh Shrimp Processing 70,9.3662,105.4968,Vietnam,Food & Beverage
Cần Thơ Feed Mill 71,9.5724,106.2864,Vietnam,Agriculture
Hà Tiên Feed Mill 72,"10°44'47""N","107°03'19""E",Vietnam,Agriculture
Cần Thơ Feed Mill 73,9.6760,106.1882,Vietnam,Agriculture
Phnom Penh Cannery 74,9.4003,105.2162,Vietnam,Food & Beverage
Rạch Giá Textile Mill 75,10.6202,104.2309,Cambodia,Textiles
Mỹ Tho Textile Mill 76,9.4225,106.0511,Vietnam,Textiles
Cà Mau Sugar Refinery 77,,,Cambodia,Food & Beverage
Trà Vinh Brewery 78,10.9073,106.9052,Vietnam,Food & Beverage
Long Xuyên Garment Factory 79,11.1851,106.7385,Vietnam,Textiles
Rạch Giá Brewery 80,9.9700,105.6376,Vietnam,Food & Beverage
Rạch Giá Brewery 81,106.8519,10.6273,Vietnam,Food & Beverage
Phnom Penh Aquafarm 82,10.5231,104.9190,Vietnam,Agriculture
Phnom Penh Shrimp Processing 83,9.9826,105.5107,Vietnam,Food & Beverage
Long Xuyên Textile Mill 84,9.9999,105.2239,Vietnam,Textiles
Bến Tre Textile Mill 85,"9,9690","105,5116",Vietnam,Textiles
Long Xuyên Textile Mill 86,10.5057,104.3170,Cambodia,Textiles
Kampot Cold Storage 87,10.7835,105.4117,Vietnam,Logistics
Bến Tre Bottling Plant 88,10.5135,105.5159,Vietnam,Food & Beverage
Vĩnh Long Data Center 89,10.6304,104.8230,Cambodia,Technology
Hà Tiên Rice Mill 90,10.3041,105.7148,Vietnam,Agriculture
Mỹ Tho Aquafarm 91,10.8154,106.8431,Vietnam,Agriculture
Cần Thơ Garment Factory 92,10.3463,105.3718,Vietnam,Textiles
Đà Nẵng Cold Storage 93,16.0678,108.2208,Vietnam,Logistics
Nha Trang Cannery 94,12.2451,109.1943,Vietnam,Food & Beverage
Hải Phòng Textile Mill 95,20.8651,106.6838,Vietnam,Textiles
Hà Tiên Brewery 4,11.3887,104.8116,Cambodia,Food & Beverage
Cần Thơ Brewery 31,10.3915,106.9262,Vietnam,Food & Beverage
